Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_0given1_Mean	ProbabilityEstimate_0given1_SD	ProbabilityEstimate_0given1_SE
15perc_2repeat	0.3	0.5239	0.0439	0.0031	0.494	0.3083	0.3797	0.521	0.5207	0.0292	0.0021	0.5965	0.0032	0.0	0.4472	0.0034	0.0
15perc_5repeat	0.3	0.5306	0.0453	0.0032	0.5357	0.2696	0.3587	0.5265	0.5179	0.0232	0.0016	0.5879	0.0029	0.0	0.4547	0.0027	0.0
15perc_10repeat	0.3	0.5315	0.0422	0.003	0.4929	0.2025	0.2871	0.5253	0.5222	0.0228	0.0016	0.5921	0.0029	0.0	0.4669	0.0028	0.0
15perc_2repeat	0.25	0.5235	0.0411	0.0029	0.4618	0.279	0.3478	0.5245	0.5218	0.0315	0.0022	0.5935	0.0036	0.0	0.4533	0.0038	0.0
15perc_5repeat	0.25	0.5271	0.0428	0.003	0.443	0.2633	0.3303	0.5249	0.5196	0.0282	0.002	0.5878	0.0034	0.0	0.4622	0.0035	0.0
15perc_10repeat	0.25	0.5228	0.0382	0.0027	0.4908	0.2861	0.3615	0.5234	0.5183	0.0252	0.0018	0.5829	0.0031	0.0	0.4596	0.0033	0.0
5perc_2repeat	0.25	0.5249	0.0374	0.0026	0.5372	0.2369	0.3288	0.5265	0.5241	0.0336	0.0024	0.6316	0.004	0.0	0.4263	0.0041	0.0
5perc_5repeat	0.25	0.5186	0.0353	0.0025	0.491	0.279	0.3558	0.5212	0.5262	0.0347	0.0025	0.6251	0.0041	0.0	0.4339	0.0044	0.0
5perc_10repeat	0.25	0.5207	0.0354	0.0025	0.4945	0.2571	0.3383	0.5233	0.5253	0.0301	0.0021	0.6227	0.0038	0.0	0.4329	0.0043	0.0
5perc_2repeat	0.2	0.5109	0.0334	0.0024	0.4143	0.3455	0.3768	0.5162	0.5277	0.0405	0.0029	0.6222	0.0049	0.0	0.4316	0.0051	0.0
5perc_5repeat	0.2	0.5178	0.0308	0.0022	0.4809	0.2365	0.317	0.5241	0.5283	0.0377	0.0027	0.6253	0.0049	0.0	0.4395	0.0045	0.0
5perc_10repeat	0.2	0.516	0.0338	0.0024	0.439	0.2772	0.3398	0.5222	0.5257	0.0371	0.0026	0.6165	0.0049	0.0	0.4403	0.005	0.0
15perc_2repeat	0.2	0.5138	0.0334	0.0024	0.4252	0.3076	0.357	0.5222	0.521	0.0353	0.0025	0.5966	0.0048	0.0	0.4506	0.0046	0.0
15perc_5repeat	0.2	0.5168	0.0349	0.0025	0.4129	0.2698	0.3263	0.5202	0.5248	0.0334	0.0024	0.5942	0.0042	0.0	0.4602	0.0042	0.0
15perc_10repeat	0.2	0.5153	0.035	0.0025	0.4339	0.305	0.3582	0.521	0.5186	0.0307	0.0022	0.5829	0.0039	0.0	0.4608	0.0042	0.0
5perc_2repeat	0.1	0.5046	0.0286	0.002	0.3635	0.3561	0.3598	0.5197	0.527	0.0582	0.0041	0.6239	0.0101	0.0	0.4368	0.0105	0.0
5perc_5repeat	0.1	0.5053	0.0283	0.002	0.331	0.3522	0.3413	0.5179	0.5351	0.0593	0.0042	0.6184	0.0086	0.0	0.4501	0.0093	0.0
5perc_10repeat	0.1	0.5011	0.0288	0.002	0.3346	0.3989	0.364	0.5179	0.5233	0.0556	0.0039	0.6045	0.0083	0.0	0.4455	0.0101	0.0
15perc_2repeat	0.1	0.5017	0.0291	0.0021	0.3506	0.4142	0.3798	0.5166	0.523	0.0528	0.0037	0.5756	0.0086	0.0	0.463	0.0083	0.0
15perc_5repeat	0.1	0.5027	0.0308	0.0022	0.3533	0.4016	0.3759	0.5179	0.5166	0.0489	0.0035	0.5652	0.0081	0.0	0.4671	0.0079	0.0
15perc_10repeat	0.1	0.5043	0.0295	0.0021	0.3248	0.3533	0.3385	0.5179	0.5254	0.0511	0.0036	0.5752	0.0073	0.0	0.4896	0.0079	0.0
5perc_2repeat	0.05	0.4992	0.0271	0.0019	0.3488	0.4704	0.4006	0.5068	0.5095	0.0832	0.0059	0.5706	0.0181	0.0	0.4625	0.0186	0.0
5perc_5repeat	0.05	0.5046	0.0263	0.0019	0.3009	0.366	0.3303	0.521	0.5268	0.0827	0.0058	0.5776	0.0178	0.0	0.5061	0.0189	0.0
5perc_10repeat	0.05	0.502	0.0278	0.002	0.3311	0.4083	0.3657	0.5195	0.5187	0.088	0.0062	0.5698	0.0178	0.0	0.508	0.0197	0.0
