Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE
50perc_5repeat	0.1	0.4224	0.0671	0.0047	0.0	0.0	0.0	0.4413	0.5331	0.0592	0.0042	0.6191	0.0103	0.0	0.541	0.0113	0.0
40perc_10repeat	0.1	0.4141	0.0678	0.0048	0.0	0.0	0.0	0.4339	0.5244	0.0564	0.004	0.6125	0.0112	0.0	0.5607	0.0098	0.0
80perc_5repeat	0.1	0.4315	0.0608	0.0043	0.0	0.0	0.0	0.4486	0.5298	0.0579	0.0041	0.6251	0.0103	0.0	0.568	0.011	0.0
90perc_2repeat	0.1	0.4144	0.0699	0.0049	0.0	0.0	0.0	0.4367	0.5313	0.0601	0.0042	0.6117	0.0106	0.0	0.5473	0.0104	0.0
60perc_5repeat	0.1	0.4301	0.0655	0.0046	0.0	0.0	0.0	0.4491	0.531	0.0653	0.0046	0.6219	0.0104	0.0	0.565	0.0117	0.0
70perc_5repeat	0.1	0.426	0.0616	0.0044	0.0	0.0	0.0	0.4412	0.5299	0.06	0.0042	0.6283	0.0102	0.0	0.5489	0.0114	0.0
100perc_2repeat	0.1	0.4189	0.0691	0.0049	0.0	0.0	0.0	0.4367	0.5267	0.0613	0.0043	0.6094	0.0089	0.0	0.5665	0.0094	0.0
90perc_5repeat	0.1	0.4175	0.0677	0.0048	0.0	0.0	0.0	0.4369	0.5265	0.0584	0.0041	0.6212	0.0101	0.0	0.5534	0.0111	0.0
50perc_10repeat	0.1	0.4216	0.0668	0.0047	0.0	0.0	0.0	0.4431	0.5285	0.0624	0.0044	0.6117	0.0112	0.0	0.5445	0.0123	0.0
100perc_5repeat	0.1	0.4199	0.0691	0.0049	0.0	0.0	0.0	0.4375	0.5261	0.0624	0.0044	0.6074	0.0093	0.0	0.5503	0.0106	0.0
70perc_10repeat	0.1	0.4231	0.07	0.005	0.0	0.0	0.0	0.4435	0.5264	0.0657	0.0046	0.6231	0.0097	0.0	0.5656	0.0111	0.0
60perc_10repeat	0.1	0.422	0.0674	0.0048	0.0	0.0	0.0	0.4399	0.5258	0.0628	0.0044	0.6087	0.0109	0.0	0.567	0.0099	0.0
100perc_10repeat	0.1	0.414	0.0676	0.0048	0.0	0.0	0.0	0.4344	0.5291	0.0591	0.0042	0.6163	0.0093	0.0	0.5666	0.0097	0.0
90perc_10repeat	0.1	0.4295	0.0622	0.0044	0.0	0.0	0.0	0.4428	0.5356	0.0607	0.0043	0.6426	0.0098	0.0	0.5652	0.0111	0.0
80perc_10repeat	0.1	0.4262	0.0633	0.0045	0.0	0.0	0.0	0.4411	0.53	0.061	0.0043	0.6209	0.01	0.0	0.5529	0.0118	0.0
15perc_5repeat	0.2	0.4054	0.0588	0.0042	0.0	0.0	0.0	0.415	0.5293	0.0396	0.0028	0.6379	0.0054	0.0	0.5807	0.006	0.0
5perc_5repeat	0.2	0.4079	0.0567	0.004	0.0	0.0	0.0	0.4213	0.5242	0.0402	0.0028	0.6375	0.0057	0.0	0.5822	0.006	0.0
15perc_2repeat	0.2	0.4019	0.0599	0.0042	0.0	0.0	0.0	0.4139	0.5291	0.0386	0.0027	0.6351	0.0054	0.0	0.579	0.0053	0.0
5perc_10repeat	0.2	0.4064	0.0597	0.0042	0.0	0.0	0.0	0.4211	0.5259	0.0417	0.0029	0.6302	0.0051	0.0	0.5737	0.0058	0.0
15perc_10repeat	0.2	0.4066	0.0557	0.0039	0.0	0.0	0.0	0.4184	0.5253	0.0393	0.0028	0.6437	0.0056	0.0	0.5863	0.0055	0.0
5perc_2repeat	0.25	0.3853	0.0608	0.0043	0.0	0.0	0.0	0.3926	0.529	0.0345	0.0024	0.6395	0.004	0.0	0.5757	0.0046	0.0
15perc_2repeat	0.25	0.3895	0.0631	0.0045	0.0	0.0	0.0	0.3992	0.5268	0.036	0.0025	0.6439	0.0044	0.0	0.5848	0.0047	0.0
80perc_5repeat	0.2	0.4033	0.0592	0.0042	0.0	0.0	0.0	0.4192	0.5342	0.0408	0.0029	0.6386	0.0056	0.0	0.5705	0.0057	0.0
30perc_2repeat	0.25	0.3945	0.0618	0.0044	0.0	0.0	0.0	0.4115	0.527	0.0363	0.0026	0.64	0.0044	0.0	0.5792	0.0049	0.0
30perc_2repeat	0.2	0.4004	0.0592	0.0042	0.0	0.0	0.0	0.4118	0.5265	0.0398	0.0028	0.6387	0.0053	0.0	0.5823	0.0056	0.0
90perc_2repeat	0.2	0.4017	0.0602	0.0043	0.0	0.0	0.0	0.4126	0.5253	0.0423	0.003	0.6365	0.0055	0.0	0.5812	0.006	0.0
100perc_2repeat	0.2	0.4071	0.0576	0.0041	0.0	0.0	0.0	0.4163	0.5268	0.0413	0.0029	0.6409	0.0051	0.0	0.5822	0.0053	0.0
40perc_2repeat	0.25	0.3913	0.0592	0.0042	0.0	0.0	0.0	0.4038	0.5255	0.0345	0.0024	0.6439	0.0042	0.0	0.581	0.0048	0.0
5perc_5repeat	0.25	0.3917	0.0601	0.0042	0.0	0.0	0.0	0.4035	0.5294	0.0356	0.0025	0.6424	0.0042	0.0	0.5829	0.0048	0.0
90perc_5repeat	0.2	0.4039	0.0564	0.004	0.0	0.0	0.0	0.4144	0.5313	0.0399	0.0028	0.6524	0.0049	0.0	0.5815	0.0059	0.0
15perc_5repeat	0.25	0.397	0.0601	0.0042	0.0	0.0	0.0	0.4061	0.5289	0.035	0.0025	0.6448	0.0046	0.0	0.5846	0.0048	0.0
100perc_5repeat	0.2	0.3983	0.0645	0.0046	0.0	0.0	0.0	0.4059	0.526	0.0411	0.0029	0.6349	0.0049	0.0	0.5803	0.0057	0.0
30perc_5repeat	0.25	0.3938	0.0588	0.0042	0.0	0.0	0.0	0.4048	0.5309	0.0363	0.0026	0.6451	0.0043	0.0	0.5814	0.0048	0.0
80perc_10repeat	0.2	0.4033	0.0607	0.0043	0.0	0.0	0.0	0.4142	0.5294	0.0411	0.0029	0.6346	0.0056	0.0	0.5803	0.0059	0.0
40perc_2repeat	0.2	0.4052	0.0565	0.004	0.0	0.0	0.0	0.4173	0.5307	0.0381	0.0027	0.6399	0.0053	0.0	0.5791	0.0056	0.0
40perc_5repeat	0.25	0.3911	0.0635	0.0045	0.0	0.0	0.0	0.4045	0.5285	0.0382	0.0027	0.6389	0.0042	0.0	0.5763	0.0049	0.0
30perc_5repeat	0.2	0.4056	0.0604	0.0043	0.0	0.0	0.0	0.4187	0.5325	0.0407	0.0029	0.6397	0.0054	0.0	0.5746	0.0061	0.0
70perc_2repeat	0.2	0.4088	0.0602	0.0043	0.0	0.0	0.0	0.423	0.5286	0.0461	0.0033	0.6424	0.0055	0.0	0.5836	0.0059	0.0
100perc_10repeat	0.2	0.4022	0.0627	0.0044	0.0	0.0	0.0	0.4123	0.5263	0.0414	0.0029	0.6356	0.0056	0.0	0.5867	0.0051	0.0
50perc_2repeat	0.2	0.4054	0.0571	0.004	0.0	0.0	0.0	0.4183	0.5291	0.0411	0.0029	0.6465	0.0053	0.0	0.573	0.0065	0.0
90perc_10repeat	0.2	0.4071	0.0583	0.0041	0.0	0.0	0.0	0.4203	0.5238	0.0425	0.003	0.6342	0.0054	0.0	0.5796	0.0059	0.0
5perc_10repeat	0.25	0.385	0.0592	0.0042	0.0	0.0	0.0	0.3995	0.5256	0.0325	0.0023	0.6437	0.0044	0.0	0.5829	0.005	0.0
15perc_10repeat	0.25	0.3966	0.0564	0.004	0.0	0.0	0.0	0.4083	0.5286	0.0344	0.0024	0.6421	0.0043	0.0	0.5823	0.0045	0.0
80perc_2repeat	0.2	0.4031	0.062	0.0044	0.0	0.0	0.0	0.4149	0.5239	0.0402	0.0028	0.6331	0.0053	0.0	0.5897	0.0058	0.0
60perc_2repeat	0.2	0.4026	0.0597	0.0042	0.0	0.0	0.0	0.4144	0.5289	0.0389	0.0028	0.6381	0.0055	0.0	0.5772	0.0061	0.0
50perc_5repeat	0.2	0.4053	0.0644	0.0046	0.0	0.0	0.0	0.4242	0.5308	0.041	0.0029	0.6388	0.0061	0.0	0.5745	0.0061	0.0
40perc_5repeat	0.2	0.4018	0.0606	0.0043	0.0	0.0	0.0	0.4139	0.529	0.0423	0.003	0.6312	0.0051	0.0	0.5773	0.0056	0.0
30perc_10repeat	0.25	0.3915	0.0591	0.0042	0.0	0.0	0.0	0.4056	0.5286	0.0362	0.0026	0.64	0.0047	0.0	0.5889	0.0044	0.0
60perc_5repeat	0.2	0.3996	0.0633	0.0045	0.0	0.0	0.0	0.4181	0.5313	0.0371	0.0026	0.6307	0.0054	0.0	0.5711	0.0062	0.0
40perc_10repeat	0.25	0.3821	0.0682	0.0048	0.0	0.0	0.0	0.3938	0.5202	0.0352	0.0025	0.6276	0.0046	0.0	0.5829	0.0046	0.0
30perc_10repeat	0.2	0.3976	0.0633	0.0045	0.0	0.0	0.0	0.4094	0.5272	0.0387	0.0027	0.64	0.005	0.0	0.5764	0.0058	0.0
70perc_5repeat	0.2	0.4113	0.0591	0.0042	0.0	0.0	0.0	0.4213	0.5282	0.0413	0.0029	0.6422	0.0055	0.0	0.5826	0.0065	0.0
50perc_10repeat	0.2	0.4118	0.0546	0.0039	0.0	0.0	0.0	0.4196	0.5261	0.0414	0.0029	0.6363	0.0053	0.0	0.5845	0.0057	0.0
40perc_10repeat	0.2	0.3952	0.0639	0.0045	0.0	0.0	0.0	0.4106	0.5255	0.038	0.0027	0.6298	0.0053	0.0	0.5772	0.0054	0.0
70perc_10repeat	0.2	0.4036	0.061	0.0043	0.0	0.0	0.0	0.4154	0.5288	0.0399	0.0028	0.6417	0.0053	0.0	0.5818	0.0057	0.0
60perc_10repeat	0.2	0.4078	0.0546	0.0039	0.0	0.0	0.0	0.4179	0.5297	0.0407	0.0029	0.6413	0.0055	0.0	0.5782	0.0056	0.0
50perc_2repeat	0.25	0.3905	0.0613	0.0043	0.0	0.0	0.0	0.4031	0.5289	0.0366	0.0026	0.6444	0.005	0.0	0.5785	0.0045	0.0
50perc_5repeat	0.25	0.394	0.0603	0.0043	0.0	0.0	0.0	0.4088	0.5288	0.0373	0.0026	0.6473	0.0042	0.0	0.5793	0.0047	0.0
60perc_2repeat	0.25	0.3866	0.0634	0.0045	0.0	0.0	0.0	0.4014	0.5264	0.0376	0.0027	0.6364	0.0045	0.0	0.581	0.0047	0.0
50perc_10repeat	0.25	0.3863	0.0669	0.0047	0.0	0.0	0.0	0.3994	0.5245	0.0375	0.0026	0.6351	0.0047	0.0	0.5876	0.0044	0.0
60perc_5repeat	0.25	0.3936	0.0582	0.0041	0.0	0.0	0.0	0.4059	0.5271	0.0342	0.0024	0.6441	0.0045	0.0	0.5814	0.0048	0.0
70perc_2repeat	0.25	0.3962	0.0586	0.0041	0.0	0.0	0.0	0.4086	0.5284	0.0371	0.0026	0.643	0.0045	0.0	0.5784	0.0048	0.0
5perc_2repeat	0.3	0.3794	0.0615	0.0044	0.0	0.0	0.0	0.3937	0.5279	0.0318	0.0022	0.6448	0.0036	0.0	0.5812	0.004	0.0
90perc_2repeat	0.25	0.384	0.0642	0.0045	0.0	0.0	0.0	0.3952	0.5264	0.034	0.0024	0.636	0.0044	0.0	0.5808	0.0044	0.0
70perc_5repeat	0.25	0.3836	0.0653	0.0046	0.0	0.0	0.0	0.3971	0.5269	0.0325	0.0023	0.64	0.0046	0.0	0.5898	0.0049	0.0
100perc_2repeat	0.25	0.3866	0.0612	0.0043	0.0	0.0	0.0	0.4003	0.5286	0.0334	0.0024	0.6434	0.0042	0.0	0.5829	0.0046	0.0
80perc_5repeat	0.25	0.3975	0.0562	0.004	0.0	0.0	0.0	0.4063	0.5263	0.0356	0.0025	0.644	0.0044	0.0	0.5889	0.0053	0.0
90perc_5repeat	0.25	0.3885	0.0672	0.0048	0.0	0.0	0.0	0.4031	0.5283	0.0348	0.0025	0.6402	0.0048	0.0	0.5839	0.0054	0.0
40perc_2repeat	0.3	0.3758	0.0661	0.0047	0.0	0.0	0.0	0.3882	0.5272	0.0318	0.0023	0.6386	0.0037	0.0	0.5823	0.0044	0.0
100perc_5repeat	0.25	0.3901	0.0632	0.0045	0.0	0.0	0.0	0.4074	0.5298	0.0352	0.0025	0.6414	0.0041	0.0	0.5831	0.0047	0.0
60perc_10repeat	0.25	0.3884	0.0621	0.0044	0.0	0.0	0.0	0.3986	0.5238	0.0335	0.0024	0.6381	0.0047	0.0	0.5831	0.0049	0.0
70perc_10repeat	0.25	0.3943	0.0613	0.0043	0.0	0.0	0.0	0.4098	0.5253	0.0363	0.0026	0.6398	0.0046	0.0	0.5808	0.0044	0.0
30perc_5repeat	0.3	0.3759	0.0652	0.0046	0.0	0.0	0.0	0.3809	0.5301	0.0322	0.0023	0.6424	0.0035	0.0	0.5766	0.0042	0.0
