Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_0given1_Mean	ProbabilityEstimate_0given1_SD	ProbabilityEstimate_0given1_SE
30perc_2repeat	0.45	0.2941	0.0558	0.0039	0.5804	0.249	0.3485	0.2824	0.5155	0.0178	0.0013	0.5717	0.0021	0.0	0.4696	0.0019	0.0
30perc_5repeat	0.45	0.2808	0.0442	0.0031	0.543	0.2203	0.3134	0.2715	0.5137	0.0143	0.001	0.5539	0.0016	0.0	0.484	0.0016	0.0
30perc_10repeat	0.45	0.2745	0.0374	0.0026	0.5232	0.2163	0.3061	0.2666	0.5128	0.0121	0.0009	0.544	0.0013	0.0	0.4897	0.0013	0.0
30perc_2repeat	0.4	0.3037	0.0572	0.004	0.5498	0.2256	0.3199	0.3016	0.5173	0.0195	0.0014	0.572	0.0022	0.0	0.4703	0.0023	0.0
30perc_5repeat	0.4	0.2796	0.0443	0.0031	0.5409	0.2592	0.3505	0.2681	0.5133	0.0162	0.0011	0.5504	0.0017	0.0	0.4816	0.0016	0.0
30perc_10repeat	0.4	0.2801	0.0406	0.0029	0.4814	0.2486	0.3279	0.2716	0.512	0.0146	0.001	0.5438	0.0014	0.0	0.4906	0.0016	0.0
30perc_2repeat	0.3	0.3225	0.0615	0.0043	0.4558	0.2766	0.3443	0.3217	0.5176	0.0246	0.0017	0.5697	0.0028	0.0	0.4719	0.0027	0.0
30perc_5repeat	0.3	0.3007	0.0523	0.0037	0.4557	0.2553	0.3273	0.2935	0.5156	0.0217	0.0015	0.5522	0.0021	0.0	0.4842	0.0022	0.0
30perc_10repeat	0.3	0.2937	0.0475	0.0034	0.4421	0.2617	0.3288	0.2828	0.514	0.0176	0.0012	0.5442	0.002	0.0	0.4901	0.0019	0.0
30perc_2repeat	0.25	0.3367	0.0618	0.0044	0.4389	0.335	0.38	0.3395	0.5129	0.0271	0.0019	0.5628	0.0036	0.0	0.4718	0.0034	0.0
30perc_5repeat	0.25	0.3107	0.0551	0.0039	0.4461	0.2445	0.3158	0.3033	0.5153	0.02	0.0014	0.5536	0.0027	0.0	0.4863	0.0025	0.0
30perc_10repeat	0.25	0.3104	0.0534	0.0038	0.3921	0.234	0.2931	0.3064	0.5142	0.0186	0.0013	0.5467	0.0025	0.0	0.4937	0.0022	0.0
30perc_2repeat	0.2	0.3393	0.0679	0.0048	0.42	0.3256	0.3668	0.3386	0.5144	0.0317	0.0022	0.5614	0.004	0.0	0.4761	0.0039	0.0
