Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE
15perc_2repeat	0.2	0.4057	0.0552	0.0039	0.0	0.0	0.0	0.4176	0.5281	0.0393	0.0028	0.6403	0.0049	0.0	0.5754	0.0058	0.0
60perc_2repeat	0.1	0.4262	0.0672	0.0048	0.0	0.0	0.0	0.4467	0.5247	0.0666	0.0047	0.6128	0.0103	0.0	0.5647	0.0109	0.0
05perc_5repeat	0.2	0.4103	0.0612	0.0043	0.0	0.0	0.0	0.4213	0.5251	0.0443	0.0031	0.6369	0.0057	0.0	0.5838	0.0055	0.0
15perc_5repeat	0.2	0.4092	0.0613	0.0043	0.0	0.0	0.0	0.4207	0.5231	0.0413	0.0029	0.6359	0.0051	0.0	0.5845	0.0061	0.0
30perc_5repeat	0.2	0.4028	0.0607	0.0043	0.0	0.0	0.0	0.4211	0.5282	0.0401	0.0028	0.6304	0.0055	0.0	0.5695	0.0057	0.0
60perc_5repeat	0.1	0.4237	0.0647	0.0046	0.0	0.0	0.0	0.4416	0.5292	0.069	0.0049	0.6285	0.0098	0.0	0.5532	0.0119	0.0
70perc_2repeat	0.1	0.414	0.0702	0.005	0.0	0.0	0.0	0.4322	0.523	0.0612	0.0043	0.5971	0.0097	0.0	0.5617	0.0096	0.0
90perc_2repeat	0.1	0.4154	0.0719	0.0051	0.0	0.0	0.0	0.4359	0.5288	0.0733	0.0052	0.6112	0.0097	0.0	0.5583	0.0097	0.0
80perc_2repeat	0.1	0.4142	0.0692	0.0049	0.0	0.0	0.0	0.4293	0.53	0.0675	0.0048	0.6017	0.0095	0.0	0.5453	0.0102	0.0
80perc_5repeat	0.1	0.4227	0.0652	0.0046	0.0	0.0	0.0	0.4408	0.5373	0.067	0.0047	0.6171	0.0104	0.0	0.5595	0.0099	0.0
100perc_2repeat	0.1	0.4329	0.0608	0.0043	0.0	0.0	0.0	0.4494	0.5296	0.0638	0.0045	0.6138	0.0105	0.0	0.5724	0.0095	0.0
90perc_5repeat	0.1	0.415	0.071	0.005	0.0	0.0	0.0	0.4368	0.5233	0.0711	0.005	0.5976	0.0102	0.0	0.5584	0.0096	0.0
60perc_10repeat	0.1	0.4299	0.064	0.0045	0.0	0.0	0.0	0.4468	0.5275	0.0667	0.0047	0.6208	0.011	0.0	0.5557	0.0124	0.0
100perc_5repeat	0.1	0.4192	0.0665	0.0047	0.0	0.0	0.0	0.4387	0.5265	0.0618	0.0044	0.6024	0.0094	0.0	0.5558	0.0096	0.0
90perc_10repeat	0.1	0.4175	0.0682	0.0048	0.0	0.0	0.0	0.4327	0.5213	0.0669	0.0047	0.6102	0.0096	0.0	0.5555	0.0108	0.0
80perc_10repeat	0.1	0.4186	0.0644	0.0046	0.0	0.0	0.0	0.4368	0.5386	0.0633	0.0045	0.623	0.0103	0.0	0.529	0.0109	0.0
100perc_10repeat	0.1	0.4243	0.0665	0.0047	0.0	0.0	0.0	0.4416	0.5264	0.0634	0.0045	0.6221	0.0088	0.0	0.5664	0.0105	0.0
70perc_10repeat	0.1	0.4193	0.0712	0.005	0.0	0.0	0.0	0.4414	0.5302	0.0675	0.0048	0.6212	0.0103	0.0	0.5712	0.0107	0.0
70perc_5repeat	0.1	0.4207	0.0669	0.0047	0.0	0.0	0.0	0.4421	0.5254	0.0622	0.0044	0.6179	0.0092	0.0	0.5466	0.0103	0.0
30perc_10repeat	0.2	0.402	0.0598	0.0042	0.0	0.0	0.0	0.4107	0.5264	0.0372	0.0026	0.6426	0.0055	0.0	0.5817	0.0058	0.0
15perc_10repeat	0.2	0.4133	0.0493	0.0035	0.0	0.0	0.0	0.42	0.5338	0.0419	0.003	0.6436	0.0056	0.0	0.5643	0.0056	0.0
05perc_10repeat	0.2	0.4054	0.0615	0.0044	0.0	0.0	0.0	0.4188	0.5199	0.0418	0.003	0.6286	0.0053	0.0	0.587	0.0051	0.0
40perc_2repeat	0.2	0.408	0.0592	0.0042	0.0	0.0	0.0	0.4229	0.5299	0.0443	0.0031	0.6457	0.0053	0.0	0.5733	0.0057	0.0
40perc_5repeat	0.2	0.4074	0.0627	0.0044	0.0	0.0	0.0	0.4207	0.5318	0.0437	0.0031	0.6356	0.0054	0.0	0.5777	0.0063	0.0
40perc_10repeat	0.2	0.3997	0.0629	0.0044	0.0	0.0	0.0	0.4125	0.5199	0.0413	0.0029	0.6322	0.0056	0.0	0.5864	0.0055	0.0
50perc_2repeat	0.2	0.4075	0.0552	0.0039	0.0	0.0	0.0	0.4189	0.5279	0.0434	0.0031	0.6349	0.0054	0.0	0.582	0.0059	0.0
50perc_5repeat	0.2	0.3971	0.0616	0.0044	0.0	0.0	0.0	0.4069	0.524	0.0391	0.0028	0.6315	0.0055	0.0	0.5817	0.0055	0.0
05perc_2repeat	0.25	0.3879	0.0601	0.0043	0.0	0.0	0.0	0.4015	0.5254	0.0336	0.0024	0.6346	0.0045	0.0	0.5872	0.0043	0.0
15perc_2repeat	0.25	0.3887	0.0623	0.0044	0.0	0.0	0.0	0.4003	0.5252	0.0338	0.0024	0.638	0.0043	0.0	0.5816	0.0051	0.0
30perc_2repeat	0.25	0.3915	0.0672	0.0048	0.0	0.0	0.0	0.4104	0.5258	0.0381	0.0027	0.639	0.0045	0.0	0.5826	0.0049	0.0
05perc_5repeat	0.25	0.3906	0.0573	0.0041	0.0	0.0	0.0	0.3995	0.5275	0.0339	0.0024	0.648	0.004	0.0	0.5803	0.0048	0.0
40perc_2repeat	0.25	0.3843	0.0656	0.0046	0.0	0.0	0.0	0.3985	0.5234	0.0364	0.0026	0.6331	0.0048	0.0	0.5876	0.0045	0.0
60perc_2repeat	0.25	0.3917	0.058	0.0041	0.0	0.0	0.0	0.4023	0.5293	0.0393	0.0028	0.6468	0.0043	0.0	0.5797	0.0049	0.0
50perc_2repeat	0.25	0.3945	0.0572	0.004	0.0	0.0	0.0	0.4005	0.5241	0.0385	0.0027	0.6353	0.0043	0.0	0.5824	0.0051	0.0
70perc_2repeat	0.25	0.3803	0.0645	0.0046	0.0	0.0	0.0	0.3944	0.5291	0.0365	0.0026	0.6404	0.0043	0.0	0.5827	0.0044	0.0
15perc_5repeat	0.25	0.3933	0.0596	0.0042	0.0	0.0	0.0	0.4059	0.5245	0.0345	0.0024	0.6417	0.0043	0.0	0.5889	0.0047	0.0
80perc_2repeat	0.25	0.3932	0.0592	0.0042	0.0	0.0	0.0	0.4036	0.5264	0.0391	0.0028	0.6376	0.0044	0.0	0.5846	0.0047	0.0
70perc_5repeat	0.25	0.3862	0.0603	0.0043	0.0	0.0	0.0	0.3948	0.5252	0.0366	0.0026	0.6357	0.0045	0.0	0.5788	0.0046	0.0
30perc_5repeat	0.25	0.3875	0.0611	0.0043	0.0	0.0	0.0	0.4029	0.5296	0.0339	0.0024	0.6409	0.0043	0.0	0.5778	0.0044	0.0
60perc_5repeat	0.25	0.3936	0.0596	0.0042	0.0	0.0	0.0	0.4103	0.5298	0.0372	0.0026	0.6483	0.0046	0.0	0.5801	0.0046	0.0
50perc_5repeat	0.25	0.3919	0.062	0.0044	0.0	0.0	0.0	0.4062	0.5277	0.0365	0.0026	0.6397	0.0043	0.0	0.5806	0.0051	0.0
80perc_5repeat	0.25	0.3929	0.0632	0.0045	0.0	0.0	0.0	0.4126	0.527	0.0426	0.003	0.6426	0.0046	0.0	0.5873	0.005	0.0
40perc_5repeat	0.25	0.3889	0.0646	0.0046	0.0	0.0	0.0	0.404	0.5271	0.0369	0.0026	0.6369	0.0047	0.0	0.5796	0.0049	0.0
70perc_10repeat	0.25	0.3887	0.0622	0.0044	0.0	0.0	0.0	0.4007	0.5235	0.0374	0.0026	0.6344	0.0048	0.0	0.5851	0.0045	0.0
60perc_10repeat	0.25	0.3923	0.0633	0.0045	0.0	0.0	0.0	0.4064	0.5298	0.0369	0.0026	0.6457	0.0047	0.0	0.5849	0.005	0.0
80perc_10repeat	0.25	0.3988	0.0549	0.0039	0.0	0.0	0.0	0.4066	0.5242	0.0403	0.0029	0.6346	0.0049	0.0	0.5823	0.0048	0.0
50perc_10repeat	0.25	0.3953	0.0567	0.004	0.0	0.0	0.0	0.4056	0.5293	0.0355	0.0025	0.6449	0.0042	0.0	0.5811	0.0047	0.0
60perc_2repeat	0.2	0.4022	0.0619	0.0044	0.0	0.0	0.0	0.413	0.5222	0.0403	0.0029	0.6315	0.0054	0.0	0.5802	0.0059	0.0
40perc_10repeat	0.25	0.3921	0.063	0.0045	0.0	0.0	0.0	0.407	0.5306	0.0362	0.0026	0.6454	0.0048	0.0	0.5831	0.0048	0.0
05perc_10repeat	0.25	0.3799	0.0683	0.0048	0.0	0.0	0.0	0.3928	0.5255	0.0349	0.0025	0.6306	0.0045	0.0	0.5858	0.0047	0.0
15perc_10repeat	0.25	0.3922	0.0589	0.0042	0.0	0.0	0.0	0.4058	0.5276	0.0362	0.0026	0.6473	0.0043	0.0	0.581	0.0045	0.0
30perc_10repeat	0.25	0.3924	0.0519	0.0037	0.0	0.0	0.0	0.4007	0.5262	0.0329	0.0023	0.6458	0.0042	0.0	0.587	0.0045	0.0
60perc_5repeat	0.2	0.4025	0.0554	0.0039	0.0	0.0	0.0	0.4106	0.5296	0.0402	0.0028	0.6399	0.0055	0.0	0.5769	0.0055	0.0
70perc_2repeat	0.2	0.4012	0.0591	0.0042	0.0	0.0	0.0	0.4132	0.5275	0.0416	0.0029	0.6394	0.0054	0.0	0.5778	0.0053	0.0
80perc_2repeat	0.2	0.4099	0.0573	0.0041	0.0	0.0	0.0	0.4198	0.5232	0.0451	0.0032	0.6337	0.0054	0.0	0.5757	0.0059	0.0
50perc_10repeat	0.2	0.4052	0.0605	0.0043	0.0	0.0	0.0	0.4158	0.5276	0.041	0.0029	0.6332	0.0056	0.0	0.5698	0.0062	0.0
70perc_5repeat	0.2	0.4038	0.0562	0.004	0.0	0.0	0.0	0.4182	0.532	0.0414	0.0029	0.6354	0.0054	0.0	0.5683	0.0061	0.0
90perc_5repeat	0.2	0.4035	0.0591	0.0042	0.0	0.0	0.0	0.4153	0.529	0.0465	0.0033	0.6395	0.0054	0.0	0.5754	0.0055	0.0
60perc_10repeat	0.2	0.3979	0.062	0.0044	0.0	0.0	0.0	0.4098	0.5242	0.0419	0.003	0.6332	0.0055	0.0	0.5785	0.006	0.0
90perc_10repeat	0.2	0.4075	0.0609	0.0043	0.0	0.0	0.0	0.4248	0.528	0.0469	0.0033	0.6379	0.0054	0.0	0.5782	0.0058	0.0
90perc_2repeat	0.2	0.3997	0.0624	0.0044	0.0	0.0	0.0	0.408	0.5283	0.0461	0.0033	0.6293	0.0052	0.0	0.5649	0.0062	0.0
80perc_5repeat	0.2	0.4048	0.0552	0.0039	0.0	0.0	0.0	0.4148	0.5252	0.046	0.0032	0.6319	0.0055	0.0	0.5797	0.0065	0.0
80perc_10repeat	0.2	0.4007	0.0534	0.0038	0.0	0.0	0.0	0.4112	0.5292	0.0376	0.0027	0.6357	0.0054	0.0	0.5726	0.0061	0.0
70perc_10repeat	0.2	0.4064	0.0616	0.0044	0.0	0.0	0.0	0.4199	0.5266	0.0437	0.0031	0.6315	0.0059	0.0	0.5812	0.0062	0.0
100perc_5repeat	0.2	0.4024	0.055	0.0039	0.0	0.0	0.0	0.4107	0.5298	0.0387	0.0027	0.6449	0.0047	0.0	0.5824	0.0056	0.0
100perc_2repeat	0.2	0.4011	0.0574	0.0041	0.0	0.0	0.0	0.4096	0.5237	0.039	0.0028	0.633	0.0048	0.0	0.5794	0.0053	0.0
100perc_10repeat	0.2	0.4029	0.0644	0.0046	0.0	0.0	0.0	0.4156	0.5291	0.0424	0.003	0.6381	0.0057	0.0	0.5767	0.0061	0.0
90perc_2repeat	0.25	0.3904	0.0638	0.0045	0.0	0.0	0.0	0.4	0.5276	0.0404	0.0029	0.64	0.0044	0.0	0.5818	0.0046	0.0
90perc_5repeat	0.25	0.3928	0.0622	0.0044	0.0	0.0	0.0	0.408	0.5281	0.0385	0.0027	0.6385	0.0044	0.0	0.5817	0.0045	0.0
90perc_10repeat	0.25	0.3887	0.0617	0.0044	0.0	0.0	0.0	0.3959	0.5295	0.0379	0.0027	0.6364	0.004	0.0	0.5835	0.0051	0.0
100perc_2repeat	0.25	0.392	0.0601	0.0043	0.0	0.0	0.0	0.4068	0.5256	0.0348	0.0025	0.6419	0.0043	0.0	0.583	0.0046	0.0
100perc_5repeat	0.25	0.3841	0.068	0.0048	0.0	0.0	0.0	0.3999	0.5287	0.0377	0.0027	0.6378	0.0046	0.0	0.5825	0.0046	0.0
100perc_10repeat	0.25	0.387	0.0629	0.0044	0.0	0.0	0.0	0.4003	0.527	0.0346	0.0024	0.6361	0.004	0.0	0.5807	0.0045	0.0
05perc_2repeat	0.3	0.3738	0.0656	0.0046	0.0	0.0	0.0	0.3856	0.5304	0.0312	0.0022	0.6391	0.004	0.0	0.5791	0.0038	0.0
15perc_2repeat	0.3	0.3781	0.0629	0.0044	0.0	0.0	0.0	0.391	0.5222	0.0317	0.0022	0.6351	0.0036	0.0	0.588	0.0042	0.0
30perc_2repeat	0.3	0.3773	0.0624	0.0044	0.0	0.0	0.0	0.3857	0.5267	0.0317	0.0022	0.64	0.0037	0.0	0.58	0.0042	0.0
50perc_2repeat	0.3	0.3751	0.0627	0.0044	0.0	0.0	0.0	0.3868	0.5245	0.0308	0.0022	0.6411	0.0036	0.0	0.5893	0.0039	0.0
40perc_2repeat	0.3	0.3698	0.0626	0.0044	0.0	0.0	0.0	0.3822	0.5257	0.033	0.0023	0.642	0.0036	0.0	0.5828	0.0041	0.0
05perc_5repeat	0.3	0.3753	0.0647	0.0046	0.0	0.0	0.0	0.3832	0.5243	0.0317	0.0022	0.6371	0.0036	0.0	0.5877	0.0038	0.0
60perc_2repeat	0.3	0.3753	0.066	0.0047	0.0	0.0	0.0	0.3932	0.5289	0.0342	0.0024	0.6423	0.0041	0.0	0.5862	0.004	0.0
40perc_5repeat	0.3	0.3777	0.0643	0.0045	0.0	0.0	0.0	0.3872	0.5287	0.0344	0.0024	0.6412	0.0039	0.0	0.5801	0.0042	0.0
50perc_5repeat	0.3	0.3757	0.0611	0.0043	0.0	0.0	0.0	0.3845	0.5249	0.0311	0.0022	0.6437	0.0035	0.0	0.5892	0.0041	0.0
30perc_5repeat	0.3	0.3746	0.0617	0.0044	0.0	0.0	0.0	0.3884	0.5258	0.0295	0.0021	0.6445	0.0038	0.0	0.5835	0.0042	0.0
70perc_2repeat	0.3	0.3749	0.0639	0.0045	0.0	0.0	0.0	0.3925	0.5293	0.0358	0.0025	0.6411	0.0036	0.0	0.5804	0.0041	0.0
80perc_2repeat	0.3	0.371	0.066	0.0047	0.0	0.0	0.0	0.3796	0.5285	0.0343	0.0024	0.6368	0.0038	0.0	0.5801	0.0041	0.0
15perc_5repeat	0.3	0.3769	0.063	0.0045	0.0	0.0	0.0	0.3852	0.5313	0.0308	0.0022	0.6446	0.0037	0.0	0.5817	0.0039	0.0
60perc_5repeat	0.3	0.3739	0.0649	0.0046	0.0	0.0	0.0	0.3875	0.5283	0.034	0.0024	0.6435	0.004	0.0	0.5813	0.0037	0.0
80perc_5repeat	0.3	0.3833	0.0628	0.0044	0.0	0.0	0.0	0.3943	0.5329	0.0356	0.0025	0.6449	0.0037	0.0	0.5806	0.0039	0.0
80perc_10repeat	0.3	0.3759	0.0629	0.0044	0.0	0.0	0.0	0.3854	0.5246	0.0358	0.0025	0.6418	0.0036	0.0	0.5834	0.0043	0.0
70perc_10repeat	0.3	0.3815	0.0625	0.0044	0.0	0.0	0.0	0.3919	0.5266	0.0346	0.0024	0.6433	0.0041	0.0	0.5829	0.0041	0.0
60perc_10repeat	0.3	0.3766	0.0668	0.0047	0.0	0.0	0.0	0.3979	0.5259	0.0351	0.0025	0.6484	0.0039	0.0	0.58	0.0041	0.0
40perc_10repeat	0.3	0.3719	0.0644	0.0046	0.0	0.0	0.0	0.3805	0.5245	0.0326	0.0023	0.6373	0.0038	0.0	0.587	0.0039	0.0
