Label	trainingSize	meanSquaredLoss	meanAccuracy	sd	se	meanPrecision	meanRecall	f1	mle_meanAccuracy	mle_sd	mle_se	mple_meanAccuracy	mple_sd	mple_se	i2_initialEstimate_meanAccuracy	i2_initialEstimate_sd	i2_initialEstimate_se	initialEstimate_meanAccuracy	initialEstimate_sd	i2_initialEstimate_se	i1_meanSquaredLoss	i2_meanSquaredLoss
40perc_2repeat	0.2	0.1846	0.7373	0.0127	0.0057	0.6355	0.5181	0.5708	0.671	0.0021	0.0009	0.7375	0.023	0.0103	0.7136	0.0102	0.0046	0.0	0.0	0.0	0.2266	0.191
15perc_2repeat	0.2	0.1779	0.7366	0.0071	0.0032	0.6149	0.5408	0.5755	0.6709	0.0045	0.002	0.7376	0.0141	0.0063	0.7048	0.0047	0.0021	0.0	0.0	0.0	0.2418	0.1894
5perc_10repeat	0.1	0.1888	0.7061	0.0129	0.0057	0.5691	0.5127	0.5394	0.6686	0.0035	0.0015	0.6873	0.0594	0.0266	0.6993	0.0152	0.0068	0.0	0.0	0.0	0.1177	0.2313
50perc_10repeat	0.1	0.2353	0.6027	0.1507	0.0674	0.4896	0.5982	0.5385	0.6654	0.0067	0.003	0.6033	0.15	0.0671	0.6597	0.0694	0.031	0.0	0.0	0.0	0.2332	0.2388
60perc_10repeat	0.1	0.2658	0.3952	0.0553	0.0247	0.2019	0.2829	0.2356	0.3327	0.0064	0.0029	0.3978	0.056	0.0251	0.3218	0.0103	0.0046	0.0	0.0	0.0	0.2629	0.2692
15perc_10repeat	0.1	0.1844	0.7228	0.0077	0.0035	0.5836	0.5447	0.5635	0.6565	0.0089	0.004	0.7299	0.0131	0.0059	0.6764	0.0171	0.0076	0.0	0.0	0.0	0.1273	0.1959
100perc_10repeat	0.1	0.4005	0.2761	0.0046	0.002	0.2328	0.5363	0.3247	0.3328	0.0088	0.0039	0.2612	0.011	0.0049	0.3094	0.0108	0.0048	0.0	0.0	0.0	0.4542	0.4859
50perc_5repeat	0.2	0.2199	0.7056	0.0217	0.0097	0.5468	0.655	0.596	0.66	0.0093	0.0042	0.7059	0.0232	0.0104	0.7063	0.0081	0.0036	0.0	0.0	0.0	0.226	0.2193
30perc_5repeat	0.2	0.1814	0.7448	0.0022	0.001	0.6372	0.5178	0.5713	0.6721	0.0019	0.0008	0.7463	0.0031	0.0014	0.7001	0.0111	0.005	0.0	0.0	0.0	0.1943	0.1841
15perc_5repeat	0.2	0.1737	0.7388	0.0074	0.0033	0.6395	0.4746	0.5448	0.6696	0.0037	0.0016	0.7486	0.002	0.0009	0.706	0.0077	0.0034	0.0	0.0	0.0	0.1957	0.1798
40perc_10repeat	0.1	0.2285	0.65	0.0792	0.0354	0.4985	0.7211	0.5895	0.6633	0.0086	0.0038	0.6463	0.0833	0.0373	0.6665	0.0099	0.0044	0.0	0.0	0.0	0.203	0.2312
40perc_5repeat	0.2	0.2016	0.7344	0.0142	0.0063	0.5898	0.6329	0.6106	0.6609	0.0102	0.0046	0.7304	0.0167	0.0075	0.6885	0.0083	0.0037	0.0	0.0	0.0	0.2116	0.2034
90perc_10repeat	0.1	0.3509	0.2755	0.0108	0.0048	0.192	0.386	0.2565	0.3328	0.0071	0.0032	0.2997	0.0428	0.0191	0.3233	0.0201	0.009	0.0	0.0	0.0	0.3765	0.4103
5perc_5repeat	0.2	0.1785	0.7288	0.0096	0.0043	0.5918	0.5697	0.5806	0.6684	0.0103	0.0046	0.7256	0.0258	0.0115	0.694	0.0111	0.005	0.0	0.0	0.0	0.1173	0.1948
60perc_5repeat	0.2	0.2566	0.4837	0.1125	0.0503	0.341	0.5327	0.4158	0.4671	0.1289	0.0577	0.4828	0.1133	0.0507	0.477	0.1258	0.0563	0.0	0.0	0.0	0.2497	0.2595
90perc_5repeat	0.2	0.3529	0.2593	0.0062	0.0028	0.1933	0.4058	0.2619	0.3332	0.0063	0.0028	0.2618	0.0062	0.0028	0.2927	0.0115	0.0051	0.0	0.0	0.0	0.2964	0.3915
100perc_5repeat	0.2	0.365	0.2621	0.0057	0.0025	0.1836	0.3669	0.2447	0.3265	0.0028	0.0012	0.2702	0.0146	0.0065	0.2996	0.0096	0.0043	0.0	0.0	0.0	0.3702	0.3986
70perc_5repeat	0.2	0.2936	0.3237	0.0923	0.0413	0.2069	0.3818	0.2683	0.337	0.0093	0.0042	0.3236	0.092	0.0411	0.3151	0.0301	0.0135	0.0	0.0	0.0	0.2787	0.3049
30perc_2repeat	0.4	0.1774	0.7455	0.001	0.0005	0.6283	0.5431	0.5826	0.6659	0.0084	0.0038	0.7444	0.001	0.0004	0.7105	0.0071	0.0032	0.0	0.0	0.0	0.218	0.1811
