Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1
15perc_10repeat	0.45	0.5664	0.0498	0.01	0.6714	0.2344	0.3475
20perc_2repeat	0.45	0.5667	0.0573	0.0115	0.6954	0.2056	0.3174
20perc_5repeat	0.45	0.5557	0.0374	0.0075	0.6824	0.1383	0.23
20perc_10repeat	0.45	0.5516	0.0495	0.0099	0.6421	0.167	0.265
25perc_2repeat	0.45	0.5623	0.0622	0.0124	0.6662	0.3102	0.4233
25perc_5repeat	0.45	0.5673	0.057	0.0114	0.7071	0.1861	0.2946
25perc_10repeat	0.45	0.5698	0.0625	0.0125	0.6927	0.2484	0.3657
30perc_2repeat	0.45	0.5656	0.0545	0.0109	0.6881	0.2523	0.3692
30perc_5repeat	0.45	0.5478	0.0423	0.0085	0.6976	0.1222	0.208
30perc_10repeat	0.45	0.5661	0.0515	0.0103	0.6978	0.1983	0.3088
5perc_2repeat	0.5	0.5724	0.0497	0.0099	0.6733	0.1881	0.294
5perc_5repeat	0.5	0.5836	0.053	0.0106	0.7109	0.2651	0.3862
5perc_10repeat	0.5	0.5787	0.0499	0.01	0.674	0.2262	0.3387
10perc_2repeat	0.5	0.5533	0.0546	0.0109	0.7239	0.1321	0.2234
10perc_5repeat	0.5	0.5765	0.0625	0.0125	0.7071	0.2473	0.3664
10perc_10repeat	0.5	0.568	0.049	0.0098	0.7481	0.1709	0.2783
15perc_2repeat	0.5	0.567	0.0414	0.0083	0.7347	0.1519	0.2517
15perc_5repeat	0.5	0.5673	0.0504	0.0101	0.6912	0.2553	0.3729
15perc_10repeat	0.5	0.5806	0.0583	0.0117	0.7157	0.198	0.3101
20perc_2repeat	0.5	0.5731	0.0612	0.0122	0.68	0.2473	0.3627
20perc_5repeat	0.5	0.5702	0.0565	0.0113	0.7525	0.2066	0.3242
20perc_10repeat	0.5	0.5826	0.0644	0.0129	0.7227	0.2761	0.3995
25perc_2repeat	0.5	0.5799	0.0616	0.0123	0.7152	0.2543	0.3752
25perc_5repeat	0.5	0.605	0.0707	0.0141	0.7021	0.3889	0.5006
25perc_10repeat	0.5	0.5656	0.0581	0.0116	0.6755	0.1771	0.2807
30perc_2repeat	0.5	0.5824	0.0584	0.0117	0.66	0.2746	0.3879
30perc_5repeat	0.5	0.5682	0.0568	0.0114	0.711	0.2325	0.3504
30perc_10repeat	0.5	0.5699	0.0656	0.0131	0.7293	0.2447	0.3665
5perc_2repeat	0.6	0.5868	0.0533	0.0107	0.7261	0.2266	0.3455
5perc_5repeat	0.6	0.5965	0.0627	0.0125	0.7306	0.268	0.3921
5perc_10repeat	0.6	0.5911	0.0429	0.0086	0.7176	0.2448	0.3651
10perc_2repeat	0.6	0.5897	0.0576	0.0115	0.7415	0.2511	0.3752
10perc_5repeat	0.6	0.6242	0.0584	0.0117	0.7129	0.3742	0.4908
10perc_10repeat	0.6	0.6064	0.0704	0.0141	0.7109	0.3218	0.4431
15perc_2repeat	0.6	0.5971	0.0603	0.0121	0.7259	0.2931	0.4175
15perc_5repeat	0.6	0.6043	0.0605	0.0121	0.742	0.2594	0.3844
15perc_10repeat	0.6	0.5941	0.0533	0.0107	0.7351	0.2716	0.3966
20perc_2repeat	0.6	0.6136	0.0615	0.0123	0.7376	0.3231	0.4494
20perc_5repeat	0.6	0.6048	0.0612	0.0122	0.73	0.2737	0.3981
20perc_10repeat	0.6	0.5917	0.0476	0.0095	0.7697	0.2145	0.3354
25perc_2repeat	0.6	0.5919	0.0518	0.0104	0.7292	0.2552	0.3781
25perc_5repeat	0.6	0.5935	0.0584	0.0117	0.7536	0.241	0.3652
25perc_10repeat	0.6	0.5983	0.0594	0.0119	0.7226	0.2406	0.361
30perc_2repeat	0.6	0.5908	0.0665	0.0133	0.7368	0.302	0.4284
30perc_5repeat	0.6	0.6173	0.0443	0.0089	0.7366	0.2922	0.4184
30perc_10repeat	0.6	0.594	0.0711	0.0142	0.7598	0.2481	0.3741
5perc_2repeat	0.7	0.5989	0.0648	0.013	0.7444	0.2857	0.4129
5perc_5repeat	0.7	0.615	0.0553	0.0111	0.7408	0.2908	0.4176
5perc_10repeat	0.7	0.6087	0.0545	0.0109	0.7707	0.2742	0.4044
10perc_2repeat	0.7	0.6025	0.0471	0.0094	0.7697	0.2467	0.3736
10perc_5repeat	0.7	0.62	0.0603	0.0121	0.7678	0.3114	0.4431
10perc_10repeat	0.7	0.6133	0.0476	0.0095	0.752	0.2874	0.4158
15perc_2repeat	0.7	0.6111	0.0565	0.0113	0.7766	0.2819	0.4136
15perc_5repeat	0.7	0.6206	0.0486	0.0097	0.759	0.298	0.428
15perc_10repeat	0.7	0.63	0.0491	0.0098	0.7609	0.3402	0.4702
20perc_2repeat	0.7	0.6288	0.0625	0.0125	0.7634	0.3488	0.4788
20perc_5repeat	0.7	0.614	0.0477	0.0095	0.7507	0.2924	0.4208
20perc_10repeat	0.7	0.6013	0.0702	0.014	0.7364	0.2933	0.4195
25perc_2repeat	0.7	0.6078	0.0588	0.0118	0.7638	0.2747	0.4041
25perc_5repeat	0.7	0.6167	0.0575	0.0115	0.7269	0.3254	0.4495
25perc_10repeat	0.7	0.5927	0.0489	0.0098	0.7633	0.2372	0.3619
30perc_2repeat	0.7	0.6106	0.0558	0.0112	0.7557	0.2753	0.4035
30perc_5repeat	0.7	0.619	0.0469	0.0094	0.7427	0.3181	0.4454
30perc_10repeat	0.7	0.6239	0.0717	0.0143	0.7677	0.3294	0.461
5perc_2repeat	0.8	0.619	0.064	0.0128	0.7562	0.3388	0.468
5perc_5repeat	0.8	0.6413	0.0519	0.0104	0.7607	0.3704	0.4982
5perc_10repeat	0.8	0.6364	0.0576	0.0115	0.8048	0.3364	0.4745
10perc_2repeat	0.8	0.6272	0.055	0.011	0.7483	0.3288	0.4568
10perc_5repeat	0.8	0.6424	0.0579	0.0116	0.7647	0.3676	0.4965
10perc_10repeat	0.8	0.6206	0.0617	0.0123	0.7463	0.3312	0.4588
15perc_2repeat	0.8	0.6496	0.0527	0.0105	0.7688	0.3743	0.5034
15perc_5repeat	0.8	0.6281	0.0447	0.0089	0.7354	0.3495	0.4738
15perc_10repeat	0.8	0.6415	0.068	0.0136	0.7837	0.3571	0.4906
20perc_2repeat	0.8	0.6247	0.0632	0.0126	0.7788	0.3379	0.4713
20perc_5repeat	0.8	0.626	0.0676	0.0135	0.7502	0.3542	0.4812
20perc_10repeat	0.8	0.6195	0.0557	0.0111	0.7837	0.317	0.4514
25perc_2repeat	0.8	0.6248	0.0486	0.0097	0.7638	0.3355	0.4662
25perc_5repeat	0.8	0.64	0.0405	0.0081	0.7422	0.3655	0.4898
25perc_10repeat	0.8	0.6249	0.0592	0.0118	0.7579	0.3419	0.4712
30perc_2repeat	0.8	0.633	0.0713	0.0143	0.7422	0.3625	0.4871
30perc_5repeat	0.8	0.6317	0.0449	0.009	0.763	0.3402	0.4706
30perc_10repeat	0.8	0.6272	0.0614	0.0123	0.7456	0.3494	0.4758
5perc_2repeat	0.9	0.6598	0.0681	0.0136	0.725	0.4156	0.5283
5perc_5repeat	0.9	0.639	0.0659	0.0132	0.7397	0.3903	0.511
5perc_10repeat	0.9	0.6396	0.0638	0.0128	0.7895	0.3854	0.518
10perc_2repeat	0.9	0.6468	0.0631	0.0126	0.7408	0.4156	0.5324
10perc_5repeat	0.9	0.6756	0.0816	0.0163	0.755	0.4517	0.5652
10perc_10repeat	0.9	0.6641	0.0514	0.0103	0.7535	0.42	0.5394
15perc_2repeat	0.9	0.6407	0.0797	0.0159	0.7489	0.3928	0.5153
15perc_5repeat	0.9	0.6586	0.0621	0.0124	0.751	0.4096	0.5301
15perc_10repeat	0.9	0.671	0.0524	0.0105	0.7832	0.4313	0.5562
20perc_2repeat	0.9	0.6566	0.0689	0.0138	0.8121	0.4081	0.5433
20perc_5repeat	0.9	0.6493	0.0648	0.013	0.7701	0.3843	0.5127
20perc_10repeat	0.9	0.6489	0.0762	0.0152	0.792	0.3829	0.5162
25perc_2repeat	0.9	0.6437	0.0539	0.0108	0.8035	0.3834	0.5191
25perc_5repeat	0.9	0.6472	0.0589	0.0118	0.7885	0.3999	0.5307
25perc_10repeat	0.9	0.6378	0.0637	0.0127	0.7732	0.3794	0.509
30perc_2repeat	0.9	0.6681	0.0438	0.0088	0.7453	0.4214	0.5384
30perc_5repeat	0.9	0.651	0.0643	0.0129	0.778	0.3954	0.5243
30perc_10repeat	0.9	0.6462	0.0684	0.0137	0.7819	0.3817	0.513
