Label	trainingSize	meanSquaredLoss	meanAccuracy	sd	se	meanPrecision	meanRecall	f1	mle_meanAccuracy	mle_sd	mle_se	mple_meanAccuracy	mple_sd	mple_se	i2_initialEstimate_meanAccuracy	i2_initialEstimate_sd	i2_initialEstimate_se	initialEstimate_meanAccuracy	initialEstimate_sd	i2_initialEstimate_se	i1_meanSquaredLoss	i2_meanSquaredLoss
50perc_2repeat	0.3	0.2159	0.6824	0.0426	0.019	0.7144	0.563	0.6297	0.7221	0.0255	0.0114	0.6797	0.0421	0.0188	0.732	0.0207	0.0093	0.0	0.0	0.0	0.2669	0.2165
50perc_5repeat	0.25	0.2363	0.6133	0.0794	0.0355	0.6268	0.5166	0.5664	0.7359	0.0058	0.0026	0.6137	0.0786	0.0352	0.6645	0.1076	0.0481	0.0	0.0	0.0	0.2777	0.2379
60perc_5repeat	0.25	0.2631	0.4865	0.0427	0.0191	0.466	0.5016	0.4832	0.4254	0.1138	0.0509	0.4864	0.0412	0.0184	0.4943	0.0763	0.0341	0.0	0.0	0.0	0.2452	0.2656
80perc_2repeat	0.3	0.2708	0.4374	0.0269	0.012	0.4181	0.547	0.4739	0.3359	0.0938	0.042	0.4387	0.0274	0.0122	0.3565	0.0433	0.0194	0.0	0.0	0.0	0.2493	0.2735
70perc_5repeat	0.25	0.2832	0.3982	0.0766	0.0343	0.3297	0.2939	0.3108	0.2813	0.0339	0.0152	0.3978	0.0783	0.035	0.3212	0.0577	0.0258	0.0	0.0	0.0	0.2248	0.2875
60perc_2repeat	0.3	0.2384	0.5914	0.0456	0.0204	0.6298	0.5233	0.5716	0.7253	0.0337	0.0151	0.5938	0.0455	0.0204	0.663	0.0636	0.0284	0.0	0.0	0.0	0.2574	0.2424
80perc_5repeat	0.25	0.3112	0.3379	0.0587	0.0262	0.3258	0.4327	0.3717	0.2804	0.0334	0.0149	0.3416	0.06	0.0268	0.3038	0.0289	0.0129	0.0	0.0	0.0	0.1986	0.3151
70perc_2repeat	0.3	0.2351	0.6115	0.0437	0.0195	0.6255	0.4217	0.5038	0.6839	0.0547	0.0244	0.611	0.0394	0.0176	0.6488	0.0699	0.0312	0.0	0.0	0.0	0.2539	0.2348
50perc_5repeat	0.2	0.2478	0.5981	0.0791	0.0354	0.5716	0.5936	0.5824	0.7379	0.0071	0.0032	0.5961	0.0785	0.0351	0.6746	0.0627	0.0281	0.0	0.0	0.0	0.2536	0.2578
90perc_2repeat	0.3	0.2889	0.3475	0.0211	0.0094	0.3481	0.4798	0.4035	0.2627	0.0086	0.0039	0.3486	0.0207	0.0092	0.2737	0.0152	0.0068	0.0	0.0	0.0	0.2506	0.2899
90perc_5repeat	0.25	0.3353	0.3352	0.0588	0.0263	0.3229	0.4441	0.374	0.2667	0.0059	0.0027	0.3408	0.0589	0.0263	0.2929	0.0402	0.018	0.0	0.0	0.0	0.1826	0.3409
15perc_2repeat	0.3	0.2055	0.6999	0.0278	0.0124	0.7232	0.5996	0.6556	0.7373	0.0086	0.0039	0.6889	0.0309	0.0138	0.7329	0.0172	0.0077	0.0	0.0	0.0	0.323	0.2119
15perc_5repeat	0.25	0.2167	0.682	0.0587	0.0262	0.6959	0.5838	0.6349	0.7359	0.0058	0.0026	0.6643	0.0609	0.0272	0.716	0.0309	0.0138	0.0	0.0	0.0	0.4371	0.2352
80perc_10repeat	0.2	0.3372	0.3792	0.0355	0.0159	0.3495	0.4429	0.3907	0.2641	0.0065	0.0029	0.3936	0.0416	0.0186	0.2939	0.0268	0.012	0.0	0.0	0.0	0.257	0.3508
100perc_5repeat	0.25	0.3773	0.3466	0.0416	0.0186	0.3153	0.4251	0.3621	0.2641	0.0058	0.0026	0.3544	0.0434	0.0194	0.2748	0.0121	0.0054	0.0	0.0	0.0	0.1656	0.386
100perc_2repeat	0.3	0.3088	0.2931	0.0226	0.0101	0.299	0.3862	0.337	0.2627	0.0086	0.0039	0.2967	0.0232	0.0104	0.2605	0.01	0.0045	0.0	0.0	0.0	0.2548	0.3091
40perc_10repeat	0.2	0.2249	0.6653	0.0613	0.0274	0.6976	0.4982	0.5813	0.7359	0.0065	0.0029	0.6596	0.0632	0.0283	0.7206	0.011	0.0049	0.0	0.0	0.0	0.2613	0.2302
70perc_10repeat	0.2	0.3026	0.3961	0.0376	0.0168	0.3479	0.4583	0.3955	0.2653	0.0069	0.0031	0.403	0.036	0.0161	0.317	0.0696	0.0311	0.0	0.0	0.0	0.2517	0.318
15perc_10repeat	0.2	0.2117	0.6793	0.0405	0.0181	0.698	0.5564	0.6192	0.7359	0.0065	0.0029	0.645	0.0522	0.0233	0.72	0.0193	0.0086	0.0	0.0	0.0	0.3045	0.2382
60perc_10repeat	0.2	0.2686	0.4753	0.0566	0.0253	0.4426	0.5111	0.4744	0.3448	0.1047	0.0468	0.4773	0.0551	0.0246	0.4581	0.0977	0.0437	0.0	0.0	0.0	0.2497	0.2746
30perc_10repeat	0.2	0.219	0.662	0.0392	0.0175	0.6697	0.5728	0.6175	0.7359	0.0065	0.0029	0.6383	0.0553	0.0247	0.6964	0.0505	0.0226	0.0	0.0	0.0	0.2722	0.2304
30perc_5repeat	0.2	0.2251	0.6417	0.0511	0.0228	0.6591	0.563	0.6073	0.7359	0.0065	0.0029	0.6132	0.0523	0.0234	0.7102	0.0214	0.0096	0.0	0.0	0.0	0.2802	0.2463
5perc_2repeat	0.35	0.1953	0.7212	0.0109	0.0049	0.7293	0.6553	0.6903	0.727	0.02	0.0089	0.7163	0.0127	0.0057	0.7317	0.0103	0.0046	0.0	0.0	0.0	0.3352	0.1972
15perc_2repeat	0.35	0.1945	0.7205	0.0139	0.0062	0.7232	0.6677	0.6943	0.7246	0.0181	0.0081	0.7173	0.0197	0.0088	0.7277	0.01	0.0045	0.0	0.0	0.0	0.3114	0.1956
30perc_2repeat	0.35	0.2104	0.6793	0.0365	0.0163	0.6976	0.5949	0.6422	0.7231	0.0275	0.0123	0.676	0.0376	0.0168	0.7146	0.0135	0.006	0.0	0.0	0.0	0.2912	0.2134
30perc_5repeat	0.3	0.2076	0.6975	0.0282	0.0126	0.7159	0.6046	0.6555	0.7373	0.0086	0.0039	0.6921	0.0333	0.0149	0.7322	0.0153	0.0068	0.0	0.0	0.0	0.2851	0.2094
5perc_5repeat	0.3	0.2046	0.7039	0.0274	0.0123	0.7298	0.5995	0.6583	0.7373	0.0086	0.0039	0.6951	0.0312	0.0139	0.7384	0.013	0.0058	0.0	0.0	0.0	0.3416	0.2112
90perc_10repeat	0.2	0.37	0.3356	0.0404	0.0181	0.3285	0.4592	0.383	0.2641	0.0065	0.0029	0.3618	0.0488	0.0218	0.2834	0.0224	0.01	0.0	0.0	0.0	0.2682	0.3857
50perc_5repeat	0.3	0.2432	0.5846	0.0536	0.024	0.5608	0.7174	0.6295	0.7184	0.0338	0.0151	0.5834	0.055	0.0246	0.6691	0.0447	0.02	0.0	0.0	0.0	0.2536	0.2447
40perc_5repeat	0.3	0.2165	0.6848	0.0345	0.0154	0.6864	0.6486	0.667	0.7378	0.0079	0.0035	0.684	0.0342	0.0153	0.7289	0.0229	0.0102	0.0	0.0	0.0	0.2663	0.217
50perc_10repeat	0.25	0.2492	0.5588	0.0308	0.0138	0.5358	0.4055	0.4617	0.6895	0.0524	0.0234	0.5558	0.0302	0.0135	0.6525	0.04	0.0179	0.0	0.0	0.0	0.2631	0.2539
15perc_10repeat	0.25	0.216	0.68	0.0501	0.0224	0.6914	0.5965	0.6405	0.7359	0.0058	0.0026	0.6647	0.0597	0.0267	0.717	0.0287	0.0128	0.0	0.0	0.0	0.4329	0.2363
5perc_10repeat	0.25	0.229	0.6532	0.033	0.0148	0.6729	0.6055	0.6374	0.7355	0.0059	0.0027	0.6262	0.0439	0.0196	0.7235	0.0147	0.0066	0.0	0.0	0.0	0.4897	0.262
60perc_2repeat	0.35	0.2369	0.5954	0.0537	0.024	0.5836	0.696	0.6348	0.7266	0.0196	0.0087	0.5938	0.052	0.0232	0.6806	0.0395	0.0177	0.0	0.0	0.0	0.256	0.2377
70perc_5repeat	0.3	0.2832	0.3385	0.0178	0.008	0.3404	0.4404	0.384	0.2903	0.0351	0.0157	0.337	0.0192	0.0086	0.2938	0.0307	0.0137	0.0	0.0	0.0	0.2505	0.284
60perc_5repeat	0.3	0.2557	0.5238	0.0441	0.0197	0.5113	0.617	0.5592	0.5719	0.1214	0.0543	0.5221	0.0502	0.0224	0.5891	0.0949	0.0424	0.0	0.0	0.0	0.2502	0.2579
70perc_2repeat	0.35	0.2418	0.5895	0.0425	0.019	0.5637	0.6026	0.5825	0.6476	0.0654	0.0292	0.5863	0.0442	0.0198	0.6343	0.0668	0.0299	0.0	0.0	0.0	0.2531	0.2418
30perc_10repeat	0.25	0.2139	0.6777	0.0519	0.0232	0.711	0.5335	0.6096	0.7368	0.0083	0.0037	0.6724	0.0599	0.0268	0.7266	0.0154	0.0069	0.0	0.0	0.0	0.352	0.2214
60perc_10repeat	0.25	0.2728	0.4281	0.0305	0.0136	0.3851	0.415	0.3995	0.2959	0.0664	0.0297	0.4311	0.0313	0.014	0.3325	0.057	0.0255	0.0	0.0	0.0	0.234	0.2747
80perc_2repeat	0.35	0.2563	0.4951	0.057	0.0255	0.4579	0.3377	0.3887	0.4084	0.1293	0.0578	0.4944	0.0565	0.0253	0.4707	0.0647	0.0289	0.0	0.0	0.0	0.2496	0.2567
80perc_5repeat	0.3	0.3189	0.3574	0.0539	0.0241	0.3483	0.486	0.4058	0.2774	0.0329	0.0147	0.3624	0.0568	0.0254	0.275	0.0143	0.0064	0.0	0.0	0.0	0.2557	0.322
50perc_2repeat	0.35	0.2232	0.6603	0.0198	0.0089	0.6572	0.649	0.6531	0.7211	0.0262	0.0117	0.6582	0.0234	0.0105	0.7214	0.012	0.0054	0.0	0.0	0.0	0.2615	0.2236
90perc_2repeat	0.35	0.2825	0.3426	0.0365	0.0163	0.3344	0.4182	0.3716	0.2695	0.0338	0.0151	0.3408	0.0395	0.0176	0.3029	0.0515	0.023	0.0	0.0	0.0	0.2504	0.2836
90perc_10repeat	0.25	0.3716	0.3543	0.0569	0.0254	0.3153	0.4034	0.3539	0.2641	0.0058	0.0026	0.3611	0.0583	0.0261	0.2743	0.0154	0.0069	0.0	0.0	0.0	0.168	0.3807
