Label	trainingSize	meanSquaredLoss	meanAccuracy	sd	se	meanPrecision	meanRecall	f1
5perc_5repeat	0.4	0.2045	0.7062	0.0402	0.0028	0.7139	0.6553	0.6833
70perc_5repeat	0.45	0.2793	0.3631	0.0481	0.0034	0.3505	0.4482	0.3934
60perc_10repeat	0.45	0.2656	0.4045	0.0498	0.0035	0.3811	0.4531	0.414
80perc_5repeat	0.45	0.3058	0.3061	0.0412	0.0029	0.299	0.3722	0.3316
100perc_10repeat	0.4	0.4077	0.2881	0.0346	0.0024	0.2815	0.3364	0.3065
100perc_2repeat	0.45	0.3022	0.278	0.0228	0.0016	0.2729	0.3257	0.2969
100perc_5repeat	0.45	0.3689	0.2759	0.0249	0.0018	0.27	0.3219	0.2937
15perc_2repeat	0.4	0.2061	0.7006	0.0412	0.0029	0.7114	0.6437	0.6758
90perc_5repeat	0.45	0.3366	0.2851	0.0319	0.0023	0.2803	0.3406	0.3076
70perc_10repeat	0.45	0.2961	0.3156	0.0472	0.0033	0.3092	0.3888	0.3445
80perc_10repeat	0.45	0.3296	0.2931	0.0369	0.0026	0.2894	0.3602	0.321
90perc_10repeat	0.45	0.3652	0.2833	0.031	0.0022	0.2788	0.3388	0.3059
5perc_10repeat	0.4	0.2037	0.7073	0.0382	0.0027	0.7161	0.6534	0.6833
15perc_5repeat	0.4	0.2045	0.7026	0.0388	0.0027	0.7163	0.6371	0.6744
100perc_10repeat	0.35	0.4072	0.2919	0.0363	0.0026	0.288	0.3518	0.3167
5perc_10repeat	0.5	0.1948	0.7243	0.0264	0.0019	0.7275	0.6731	0.6992
5perc_2repeat	0.5	0.195	0.7238	0.0271	0.0019	0.7267	0.6733	0.699
5perc_5repeat	0.5	0.1947	0.7243	0.0256	0.0018	0.7271	0.674	0.6996
15perc_2repeat	0.5	0.1966	0.7208	0.0273	0.0019	0.7256	0.6655	0.6942
100perc_10repeat	0.45	0.4034	0.277	0.0262	0.0019	0.271	0.3239	0.2951
15perc_5repeat	0.5	0.198	0.7172	0.0318	0.0022	0.7249	0.6551	0.6883
15perc_2repeat	0.7	0.1922	0.7298	0.0283	0.002	0.7317	0.6788	0.7043
30perc_2repeat	0.7	0.2	0.7199	0.0363	0.0026	0.7274	0.6564	0.6901
5perc_5repeat	0.7	0.1894	0.7341	0.0275	0.0019	0.7316	0.6926	0.7115
15perc_5repeat	0.7	0.1929	0.7299	0.0286	0.002	0.7316	0.6798	0.7047
40perc_2repeat	0.7	0.2063	0.7201	0.0355	0.0025	0.7251	0.6608	0.6915
15perc_2repeat	0.6	0.1928	0.7282	0.0291	0.0021	0.7351	0.6733	0.7028
5perc_5repeat	0.6	0.1901	0.7325	0.0246	0.0017	0.7372	0.6819	0.7085
5perc_10repeat	0.7	0.1895	0.7343	0.0281	0.002	0.7317	0.6926	0.7116
5perc_2repeat	0.6	0.1903	0.7321	0.0251	0.0018	0.736	0.6832	0.7086
40perc_5repeat	0.7	0.2155	0.7059	0.0387	0.0027	0.7171	0.6294	0.6704
15perc_10repeat	0.7	0.1936	0.7298	0.0289	0.002	0.7321	0.678	0.704
30perc_5repeat	0.5	0.2076	0.7031	0.0385	0.0027	0.7181	0.6258	0.6688
40perc_2repeat	0.5	0.2115	0.696	0.0424	0.003	0.7087	0.6252	0.6643
30perc_10repeat	0.7	0.2068	0.717	0.0358	0.0025	0.7271	0.6474	0.6849
