Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1
0perc_0repeat	0.4	0.5515	0.0513	0.0103	0.664	0.2064	0.3149
Median_0perc_0repeat	0.4	0.5358	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5453	0.06	0.012	0.62	0.3343	0.4344
Median_0perc_0repeat	0.4	0.5377	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5613	0.054	0.0108	0.6557	0.1513	0.2459
Median_0perc_0repeat	0.4	0.5485	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5445	0.0563	0.0113	0.6522	0.2214	0.3306
Median_0perc_0repeat	0.4	0.5378	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5468	0.051	0.0102	0.5546	0.2716	0.3646
Median_0perc_0repeat	0.4	0.5234	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5446	0.0511	0.0102	0.5895	0.2816	0.3812
0perc_0repeat	0.4	0.5518	0.0455	0.0091	0.6146	0.2762	0.3811
Median_0perc_0repeat	0.4	0.5424	0.0	0.0	0.0	0.0	0.0
Median_0perc_0repeat	0.4	0.5452	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5439	0.0415	0.0083	0.623	0.152	0.2443
Median_0perc_0repeat	0.4	0.5322	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5549	0.058	0.0116	0.6452	0.2524	0.3629
Median_0perc_0repeat	0.4	0.5453	0.0	0.0	0.0	0.0	0.0
