Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_0given1_Mean	ProbabilityEstimate_0given1_SD	ProbabilityEstimate_0given1_SE
original	0.4	0.5509	0.0544	0.0038	0.6108	0.2705	0.3749	0.5411	0.5256	0.0282	0.002	0.6425	0.0029	0.0	0.413	0.003	0.0
original	0.4	0.5544	0.0487	0.0034	0.6484	0.2175	0.3257	0.5444	0.5277	0.0238	0.0017	0.6429	0.0026	0.0	0.4201	0.0027	0.0
original	0.4	0.5524	0.0504	0.0036	0.6336	0.216	0.3222	0.5443	0.5252	0.0256	0.0018	0.6343	0.0027	0.0	0.4221	0.0028	0.0
original	0.4	0.5542	0.0551	0.0039	0.635	0.2566	0.3655	0.5447	0.5246	0.0262	0.0019	0.6381	0.0029	0.0	0.4149	0.0028	0.0
original	0.4	0.5519	0.0537	0.0038	0.6337	0.2276	0.3349	0.539	0.5282	0.0272	0.0019	0.6449	0.0028	0.0	0.4137	0.0028	0.0


5perc_2repeat	0.4	0.5574	0.0519	0.0037	0.6499	0.2332	0.3432	0.5462	0.5255	0.0231	0.0016	0.6281	0.0027	0.0	0.4269	0.0026	0.0
5perc_5repeat	0.4	0.5549	0.0554	0.0039	0.6295	0.2619	0.3699	0.5435	0.523	0.0225	0.0016	0.6202	0.0026	0.0	0.4269	0.0026	0.0
5perc_2repeat	0.4	0.5496	0.0564	0.004	0.6558	0.245	0.3568	0.5379	0.5255	0.0251	0.0018	0.6222	0.0027	0.0	0.4258	0.0029	0.0
5perc_5repeat	0.4	0.5512	0.0497	0.0035	0.6636	0.2077	0.3164	0.5411	0.5248	0.0223	0.0016	0.6272	0.0025	0.0	0.43	0.0027	0.0
5perc_2repeat	0.4	0.5545	0.0534	0.0038	0.6289	0.2457	0.3533	0.5449	0.5225	0.0239	0.0017	0.624	0.0028	0.0	0.427	0.0027	0.0
5perc_5repeat	0.4	0.5511	0.0526	0.0037	0.6187	0.2529	0.3591	0.5402	0.5245	0.0242	0.0017	0.6207	0.0025	0.0	0.4301	0.0027	0.0
5perc_2repeat	0.4	0.5516	0.0533	0.0038	0.6336	0.2553	0.364	0.5384	0.5249	0.0244	0.0017	0.6249	0.0026	0.0	0.4267	0.0027	0.0
5perc_5repeat	0.4	0.5533	0.05	0.0035	0.6487	0.1854	0.2884	0.5417	0.5277	0.0219	0.0015	0.6295	0.0024	0.0	0.4313	0.0026	0.0
5perc_2repeat	0.4	0.5508	0.0504	0.0036	0.6109	0.2147	0.3178	0.5365	0.5269	0.0234	0.0017	0.6303	0.0026	0.0	0.4293	0.0029	0.0
5perc_5repeat	0.4	0.5493	0.0517	0.0037	0.6256	0.2272	0.3333	0.5347	0.527	0.0236	0.0017	0.6249	0.0026	0.0	0.4318	0.0027	0.0
5perc_2repeat	0.4	0.5566	0.0536	0.0038	0.6308	0.2354	0.3428	0.5429	0.5248	0.0228	0.0016	0.6278	0.0026	0.0	0.4268	0.0029	0.0
5perc_5repeat	0.4	0.5471	0.0504	0.0036	0.6083	0.2283	0.332	0.5355	0.5262	0.0241	0.0017	0.6265	0.0027	0.0	0.4304	0.0028	0.0
5perc_2repeat	0.4	0.5493	0.0513	0.0036	0.6132	0.2183	0.322	0.5376	0.5241	0.0234	0.0017	0.6294	0.0027	0.0	0.4248	0.0029	0.0
5perc_5repeat	0.4	0.5478	0.0513	0.0036	0.6516	0.2147	0.323	0.536	0.527	0.0237	0.0017	0.6254	0.0029	0.0	0.4283	0.0025	0.0
5perc_2repeat	0.4	0.5528	0.0546	0.0039	0.6299	0.2614	0.3695	0.5401	0.5246	0.0253	0.0018	0.6251	0.0029	0.0	0.4252	0.0028	0.0
5perc_5repeat	0.4	0.556	0.0567	0.004	0.6227	0.2506	0.3574	0.5427	0.5263	0.0228	0.0016	0.6224	0.0026	0.0	0.4293	0.0026	0.0
5perc_2repeat	0.4	0.5497	0.0505	0.0036	0.6319	0.2219	0.3285	0.5327	0.5266	0.0241	0.0017	0.6286	0.0026	0.0	0.4298	0.0028	0.0
5perc_5repeat	0.4	0.5566	0.0509	0.0036	0.6471	0.2003	0.3059	0.5429	0.5264	0.0212	0.0015	0.6285	0.0025	0.0	0.4325	0.0027	0.0
5perc_2repeat	0.4	0.5497	0.0528	0.0037	0.6094	0.2054	0.3072	0.5376	0.5276	0.0253	0.0018	0.6284	0.0025	0.0	0.4329	0.003	0.0
5perc_5repeat	0.4	0.555	0.054	0.0038	0.6466	0.2408	0.3509	0.5417	0.5222	0.0213	0.0015	0.6256	0.0025	0.0	0.4268	0.0027	0.0
5perc_2repeat	0.4	0.5497	0.0537	0.0038	0.6186	0.2251	0.3301	0.5363	0.5263	0.0238	0.0017	0.6274	0.0027	0.0	0.4302	0.0027	0.0
5perc_5repeat	0.4	0.5501	0.047	0.0033	0.6369	0.1796	0.2802	0.5377	0.5275	0.0218	0.0015	0.6304	0.0025	0.0	0.4342	0.0026	0.0
5perc_2repeat	0.4	0.5497	0.0503	0.0036	0.6229	0.2148	0.3195	0.5374	0.5261	0.0236	0.0017	0.6302	0.0027	0.0	0.4269	0.0028	0.0
5perc_5repeat	0.4	0.5487	0.0487	0.0034	0.6156	0.2167	0.3205	0.5379	0.5269	0.0236	0.0017	0.6286	0.0026	0.0	0.4298	0.0028	0.0
5perc_2repeat	0.4	0.545	0.0532	0.0038	0.6179	0.2584	0.3644	0.5359	0.5246	0.0256	0.0018	0.6251	0.0027	0.0	0.4251	0.0028	0.0
5perc_5repeat	0.4	0.5477	0.0522	0.0037	0.6208	0.2208	0.3258	0.5346	0.5275	0.0234	0.0017	0.6247	0.0028	0.0	0.4333	0.0027	0.0
5perc_2repeat	0.4	0.5545	0.054	0.0038	0.6193	0.2276	0.3329	0.5433	0.5262	0.0251	0.0018	0.6283	0.0026	0.0	0.4285	0.0029	0.0
5perc_5repeat	0.4	0.5559	0.0543	0.0038	0.6496	0.2337	0.3437	0.5447	0.5225	0.0224	0.0016	0.6225	0.0026	0.0	0.4291	0.0026	0.0
5perc_2repeat	0.4	0.5494	0.051	0.0036	0.628	0.2465	0.354	0.533	0.5249	0.024	0.0017	0.6286	0.0025	0.0	0.4278	0.0028	0.0
5perc_5repeat	0.4	0.555	0.0551	0.0039	0.603	0.2458	0.3492	0.5405	0.5244	0.0237	0.0017	0.6209	0.0024	0.0	0.4323	0.0028	0.0
5perc_2repeat	0.4	0.5517	0.0547	0.0039	0.6174	0.2464	0.3522	0.5419	0.5248	0.0253	0.0018	0.6255	0.0028	0.0	0.4292	0.0028	0.0
5perc_5repeat	0.4	0.5513	0.0521	0.0037	0.6325	0.2124	0.318	0.5409	0.5265	0.0232	0.0016	0.6255	0.0025	0.0	0.4335	0.0027	0.0
5perc_2repeat	0.4	0.5565	0.0553	0.0039	0.645	0.235	0.3444	0.5395	0.5255	0.0235	0.0017	0.6258	0.0028	0.0	0.4275	0.0027	0.0
5perc_5repeat	0.4	0.5511	0.0552	0.0039	0.6094	0.2216	0.325	0.5378	0.5252	0.0248	0.0018	0.6276	0.0027	0.0	0.4318	0.0028	0.0
5perc_2repeat	0.4	0.556	0.0544	0.0038	0.606	0.2148	0.3172	0.5409	0.5269	0.0233	0.0016	0.6296	0.0026	0.0	0.4305	0.0029	0.0
5perc_5repeat	0.4	0.5493	0.0509	0.0036	0.6419	0.2066	0.3126	0.5405	0.5284	0.0229	0.0016	0.6287	0.0028	0.0	0.4298	0.0027	0.0
