Label	trainingSize	SquaredLoss_Mean	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE
30perc_2repeat	0.2	0.0969	0.8957	0.1309	0.0093	0.8869	0.9396	0.9125	0.9449	0.4876	0.0207	0.0015	0.6643	0.0031	0.0	0.6811	0.003	0.0
15perc_5repeat	0.2	0.0706	0.9224	0.0922	0.0065	0.9038	0.9701	0.9357	0.9453	0.4829	0.0227	0.0016	0.7217	0.0032	0.0	0.7428	0.0026	0.0
60perc_2repeat	0.2	0.0598	0.9403	0.0361	0.0026	0.9227	0.9686	0.9451	0.9469	0.497	0.0163	0.0012	0.6424	0.0017	0.0	0.6465	0.0018	0.0
50perc_2repeat	0.2	0.0865	0.9104	0.1108	0.0078	0.9085	0.9372	0.9226	0.9456	0.4929	0.0167	0.0012	0.6311	0.0021	0.0	0.6365	0.0021	0.0
30perc_5repeat	0.2	0.1648	0.8213	0.1914	0.0135	0.8259	0.9	0.8613	0.9381	0.4868	0.0185	0.0013	0.6073	0.0029	0.0	0.6276	0.0027	0.0
40perc_5repeat	0.2	0.2368	0.7325	0.211	0.0149	0.7764	0.8008	0.7884	0.833	0.4933	0.0145	0.001	0.5699	0.0023	0.0	0.5835	0.0023	0.0
50perc_5repeat	0.2	0.1972	0.7818	0.2053	0.0145	0.8093	0.8153	0.8123	0.924	0.4952	0.0136	0.001	0.5629	0.0017	0.0	0.5678	0.0017	0.0
05perc_10repeat	0.2	0.0464	0.9467	0.008	0.0006	0.9278	0.974	0.9503	0.9472	0.4827	0.0265	0.0019	0.8274	0.0025	0.0	0.834	0.0023	0.0
100perc_5repeat	0.1	0.0445	0.9492	0.0043	0.0003	0.9335	0.972	0.9523	0.9494	0.5147	0.0295	0.0021	0.913	0.0025	0.0	0.9057	0.0031	0.0
60perc_5repeat	0.2	0.1097	0.8919	0.1356	0.0096	0.8891	0.9147	0.9017	0.9448	0.5004	0.0111	0.0008	0.5785	0.0014	0.0	0.5802	0.0014	0.0
15perc_10repeat	0.2	0.0851	0.9075	0.1141	0.0081	0.901	0.949	0.9244	0.9445	0.4817	0.0228	0.0016	0.7048	0.0034	0.0	0.721	0.0032	0.0
100perc_10repeat	0.1	0.0472	0.9466	0.0331	0.0023	0.9323	0.9668	0.9492	0.9494	0.5192	0.0365	0.0026	0.9034	0.003	0.0	0.897	0.0035	0.0
30perc_10repeat	0.2	0.1964	0.7831	0.2046	0.0145	0.8072	0.847	0.8266	0.9268	0.4905	0.0144	0.001	0.5837	0.0027	0.0	0.6009	0.0025	0.0
40perc_10repeat	0.2	0.2509	0.7083	0.21	0.0148	0.7495	0.7706	0.76	0.5396	0.4948	0.0123	0.0009	0.5443	0.0019	0.0	0.5544	0.0019	0.0
